Business Name,What they do (primary category),All place types,Location (address),Website,Place ID
Nike Missile SF-31 Launch Battery Site,Historical Place,"historical_place, point_of_interest, establishment","Castro Valley, CA 94546, USA",,ChIJh33EaByOj4ARFKMKFmfgZto
Nike Trail | Lake Chabot,Hiking Area,"hiking_area, tourist_attraction, sports_activity_location, point_of_interest, establishment","Castro Valley, CA 94546, USA",http://www.ebparks.org/parks/lake_chabot,ChIJR0_c3hyOj4ARIzLoI6yqEos
East Shore Trail Chabot Lake,Hiking Area,"hiking_area, sports_activity_location, point_of_interest, establishment","PVCW+M9, Castro Valley, CA 94546, USA",,ChIJhaJXOAuPj4ARxo4opB0__4o
Indian Cove Trail,Hiking Area,"hiking_area, sports_activity_location, point_of_interest, establishment","PV9X+8J, Castro Valley, CA 94546, USA",,ChIJ1xjbOX2Pj4ARn34vPw7GEUc
East Bay Regional Park District - Public Safety,Local Government Office,"tourist_attraction, park, local_government_office, government_office, service, point_of_interest, establishment","17930 Lake Chabot Rd, Castro Valley, CA 94546, USA",http://www.ebparks.org/about/police/contact,ChIJbRNvuh-Oj4ARVUfF6sguPHM
Fishing Pier#2/Lake Chabot,Fishing Pier,"fishing_pier, point_of_interest, establishment","PVGX+64R, Castro Valley, CA 94546, USA",,ChIJFUY6CyePj4ARf1ukDK3MduQ
Lake Chabot Marina - Heron,Park,"park, point_of_interest, establishment","PV8X+R9, Castro Valley, CA 94546, USA",,ChIJI37aKgCPj4ARJqZO_J_QviE
Fishing Pier#1/Lake Chabot,Fishing Pier,"fishing_pier, point_of_interest, establishment","PV9V+MRF, Castro Valley, CA 94546, USA",,ChIJPZpEt5SPj4ARo-YLerg6yD8
Lake Chabot Marina,Marina,"marina, service, point_of_interest, establishment","17930 Lake Chabot Rd, Castro Valley, CA 94546, USA",http://www.ebparks.org/,ChIJv39eluGRj4ARIe_NLmQZb9U
Duck View Pt,Tourist Attraction,"tourist_attraction, point_of_interest, establishment","17600 Lake Chabot Rd, Castro Valley, CA 94546, USA",,ChIJhcXHMHePj4ARf7p2DOold8w
Lake Chabot Fishing Outfitters,Store,"store, point_of_interest, establishment","17930 Lake Chabot Rd, Castro Valley, CA 94546, USA",,ChIJG5K-4B-Oj4ARNNgI-BdRSNc
Lake Chabot Boat Area,Services,"service, point_of_interest, establishment","17600 Lake Chabot Rd, Castro Valley, CA 94546, USA",https://lakechabotrecreation.com/,ChIJA3CgbVePj4ARZxjfiNyElc8
Outdoor Gym,Playground,"playground, point_of_interest, establishment","17600 Lake Chabot Rd, Castro Valley, CA 94546, USA",https://www.ebparks.org/parks/lake-chabot,ChIJYyFtdgCPj4ARbomnGl6Ck-U
Lake Chabot Marina & Café,Marina,"marina, hiking_area, sports_activity_location, restaurant, food, service, store, point_of_interest, establishment","17936 Lake Chabot Rd, Castro Valley, CA 94546, USA",http://www.lakechabotrecreation.com/,ChIJv39eluGRj4ARe2b8Obk6Chc
TrainPlayer Software,,"point_of_interest, establishment","4200 Arcadian Dr, Castro Valley, CA 94546, USA",https://www.trainplayer.com/,ChIJax6zuIGPj4ARx9_O2dEVAUQ
Restrooms,Public Bathroom,"public_bathroom, point_of_interest, establishment","PV8W+Q5, Castro Valley, CA 94546, USA",https://www.ebparks.org/parks/lake-chabot,ChIJhd-9IQCPj4AR-ljoxxWCgbE
Exceptional Teaching,Store,"store, point_of_interest, establishment","3994 Oleander Way, Castro Valley, CA 94546, USA",http://exceptionalteaching.com/,ChIJg5bHY_2Rj4ARg19nlbyxz84
Raccoon Point,Landmark,"landmark, tourist_attraction, point_of_interest, establishment","Castro Valley, CA 94546, USA",,ChIJyzSOMheOj4ARiBIueSD7miM
honker bay-scenic view,Scenic Spot,"scenic_spot, point_of_interest, establishment","PVGW+Q3M, Hayward, CA 94546, USA",,ChIJ-dw2Rm2Pj4AR_UXxD2aUu4s
Lake Chabot Regional Park,Park,"park, tourist_attraction, point_of_interest, establishment","17600 Lake Chabot Rd, Castro Valley, CA 94546, USA",http://www.ebparks.org/parks/lake_chabot,ChIJjx6nRiOOj4AR58kCP5VegyA
Paradigm Preacher,Consultant,"consultant, service, point_of_interest, establishment","Redwood Rd, Castro Valley, CA 94546, USA",,ChIJAVsMoc2Tj4ARUQuGOFMjB90
Proctor Trail,Hiking Area,"hiking_area, sports_activity_location, point_of_interest, establishment","Castro Valley, CA 94546, USA",,ChIJKUGPCv-Nj4ARvkif9D4BdOg
Redwood Rangers Horse Pasture,Sports Club,"sports_club, association_or_organization, point_of_interest, establishment","17010 Redwood Rd, Castro Valley, CA 94546, USA",https://www.redwoodrangers.org/,ChIJF6PBp7mTj4ARDfupwo6MHb4
Proctor Staging Area,Hiking Area,"hiking_area, tourist_attraction, sports_activity_location, point_of_interest, establishment","19577 San Miguel Ave, Castro Valley, CA 94546, USA",,ChIJPd015waSj4ARUFIa9gA9WIk
Proctor Staging Area,Parking Lot,"parking_lot, parking, transportation_service, service, point_of_interest, establishment","17267 Redwood Rd, Castro Valley, CA 94546, USA",,ChIJfR80A_-Nj4ARdQHZMNnGXNk
A-1 American Plumbing & Heating,Plumber,"plumber, service, point_of_interest, establishment","17776 Sweetbriar Pl, Castro Valley, CA 94546, USA",,ChIJjbdJbRiSj4AREnDJ48jOC-w
Creative Hummingbird Design,Services,"service, point_of_interest, establishment","on-line, Castro Valley, CA 94546, USA",,ChIJS9o9GvCTj4ARoqCYbwfAyQE
Ecotrend,,"point_of_interest, establishment","21682 Shady Spring drive, Castro Valley, CA 94546, USA",,ChIJ11RNSSWTj4ARaHHI_fmzaEQ
Casa Care,Services,"service, point_of_interest, establishment","Castro Valley, CA 94546, USA",,ChIJVVVVVQGSj4ARb1mUOiljTnY
Puttin' On the Ritz Rolls,Chauffeur service,"chauffeur_service, transportation_service, service, point_of_interest, establishment","Castro Valley, CA 94546, USA",,ChIJVVVVVQGSj4ARoXNTSWM-jhY
Titan's Kingdom,Services,"pet_care, service, point_of_interest, establishment","Castro Valley, CA 94546, USA",http://www.titanskingdom.net/,ChIJVVVVVQGSj4ARolVgAOHyrRE
Assist Me!,Consultant,"consultant, service, point_of_interest, establishment","Castro Valley, CA 94546, USA",,ChIJVVVVVQGSj4ARKoHiG4yJ8lQ
Fast Water Heater Co,Plumber,"plumber, service, point_of_interest, establishment","Castro Valley, CA 94546, USA",https://www.fastwaterheater.com/,ChIJVVVVVQGSj4ARrIQXkvfOomc
Rehabilitation Limited,Health,"service, health, point_of_interest, establishment","Castro Valley, CA 94546, USA",,ChIJVVVVVQGSj4ARG3CTjkwLuNw
Sacramento Delivery,Mover,"shipping_service, moving_company, transportation_service, service, point_of_interest, establishment","Castro Valley, CA 94546, USA",,ChIJVVVVVQGSj4ARIHl83l2Z1pA
Reldy Ball Bonds,Services,"service, point_of_interest, establishment","Castro Valley, CA 94546, USA",,ChIJ9QbB5GmRj4ARWQNzRFtSovs
California Chrysler Products Club,Car Dealer,"car_dealer, car_repair, service, store, point_of_interest, establishment","PO Box 2660, Castro Valley, CA 94546, USA",,ChIJAQAAAPyNj4ARQVMyBbuzVOU
Gideons International,Association / Organization,"association_or_organization, point_of_interest, establishment","Castro Valley, CA 94546, USA",https://www.gideons.org/,ChIJAQAAAPyNj4ARsak-zlAASR0
Nichols Sally,Insurance Agency,"insurance_agency, service, point_of_interest, establishment","PO Box 20875, Castro Valley, CA 94546, USA",,ChIJAQAAAPyNj4AR51qIYrmKgd8
Lake Chabot Getaway ~ 3 Mi to Water!,Lodging,"lodging, point_of_interest, establishment","17777 Camelot Ln, Castro Valley, CA 94546, USA",,ChIJRfc94wOSj4AR3u7IPJVAZXc
R's Carwash Detailing,Car Wash,"car_wash, point_of_interest, service, establishment","5780 Thousand Oaks Dr, Castro Valley, CA 94552, USA",https://rcarwashdetailing.com/,ChIJY8eGMvIOJyIRWWmT3i2xGmI
Deerview Park,Park,"park, tourist_attraction, point_of_interest, establishment","5780 Thousand Oaks Dr, Castro Valley, CA 94552, USA",http://www.haywardrec.org/Facilities/Facility/Details/Deerview-Park-32,ChIJr-Wk7nKSj4ARoXf9_8LA-Nk
Alpha Auto Glass,Car repair and maintenance service,"car_repair, point_of_interest, service, establishment","17443 San Franciscan Dr, Castro Valley, CA 94552, USA",,ChIJR-thJg2Sj4AR6v0qbq_ZtzI
Vik Ahuja - Intero Real Estate Services,Services,"point_of_interest, service, establishment","5906 Charter Oaks Dr, Castro Valley, CA 94552, USA",https://vahuja.intero.com/,ChIJwWsb_2uTj4AR7HacNdRCRds
Lani,Housing Complex,"housing_complex, point_of_interest, service, establishment","6961 Slopeview Ct, Castro Valley, CA 94552, USA",,ChIJM6NIJQCTj4ARusELLI17t_Q
Rodrigue Hardwood Floors,General Contractor,"general_contractor, point_of_interest, service, establishment","5720 Medallion Ct, Castro Valley, CA 94552, USA",http://allhardwoodfloors.com/,ChIJx1IRSmySj4ARed9K6yJejRU
BAMLAP,Point of interest,"point_of_interest, establishment","5725 Medallion Ct, Castro Valley, CA 94552, USA",,ChIJG8rIRmySj4ARVCHn1pKznBA
The DRT Agency,Services,"point_of_interest, service, establishment","6026 Castlebrook Dr, Castro Valley, CA 94552, USA",,ChIJlawESCyTj4ARRrrRKsJtra4
Absolute Plumbing,Plumber,"plumber, home_goods_store, general_contractor, store, point_of_interest, service, establishment","5358 Camino Alta Mira, Castro Valley, CA 94546, USA",http://absoluteplumbingpro.com/,ChIJ4xyVmg6Sj4ARXLDNy-BxIAM
"2 Kings, Hot tub, and a View - Four-Bedroom House",Lodging,"lodging, point_of_interest, establishment","Castro Valley, CA 94546, USA",https://www.bluepillow.com/search/6582e08c6c560103cb44820b?dest=bkng&cat=House&lat=37.71969&lng=-122.06717&language=en,ChIJ4RC8fQ6Sj4ARSDZFtwh9XmU
Little Free Library,Library,"library, point_of_interest, service, establishment","18017 Columbia Dr, Castro Valley, CA 94552, USA",https://littlefreelibrary.org/,ChIJ_Q9qVwCTj4ARSnM2GVUP4ws
"Plants Unlimited, Inc.",Wholesaler,"wholesaler, general_contractor, point_of_interest, service, establishment","16979 Columbia Dr, Castro Valley, CA 94552, USA",https://www.plts.com/,ChIJU45zBnWSj4ARKa5-llSHYmo
Bradley K Warren & Associates Inc,Consultant,"consultant, point_of_interest, service, establishment","5320 Proctor Ln, Castro Valley, CA 94546, USA",http://www.bradwarren.com/,ChIJj0dFRA6Sj4ARvrsa8lwKi9g
Beautiful private home w/ large backyard in quiet neighborhood in Castro Valley,Lodging,"lodging, point_of_interest, establishment","Castro Valley, CA 94546, USA",https://www.vrbo.com/pdp/lo/113169409?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,ChIJzQ8vRw6Sj4AR1gGuLDtE6VQ
Beautiful private home w / large backyard in quiet neighborhood in Castro Valley,Lodging,"lodging, point_of_interest, establishment","Castro Valley, CA 94546, USA",https://www.bluepillow.com/search/68115acfa74f8eb5bd29454a?dest=bpex&cat=House&lat=37.71911&lng=-122.07012&language=en,ChIJ9xtoBg-Sj4ARqq0ESI6DJSo
Redwood Rangers Horse Pasture,Sports Club,"sports_club, association_or_organization, point_of_interest, establishment","5200 Proctor Rd, Castro Valley, CA 94546, USA",https://www.redwoodrangers.org/,ChIJOxGt9JOTj4ARd0zdoZXUtpg
Safety Grab Bar Mobile Installation,Store,"store, point_of_interest, health, establishment","4998 Tyler Ln, Castro Valley, CA 94546, USA",,ChIJcx0rwhGSj4ARFhdpGgct9iw
Fern Lodge Inc.,Association / Organization,"non_profit_organization, association_or_organization, point_of_interest, establishment","18457 Madison Ave, Castro Valley, CA 94546, USA",http://fernlodge.org/,ChIJSzXWeBSSj4AR-s-SnzXbtmg
Christmas Light Show,Tourist Attraction,"tourist_attraction, point_of_interest, establishment","17923 Trenton Dr, Castro Valley, CA 94546, USA",https://castrovalleylights.com/,ChIJIW4VT7mTj4ARF4aYW6CmC8Q
Landstar Inway Inc,Mover,"shipping_service, moving_company, point_of_interest, transportation_service, service, establishment","17958 Rockhurst Rd, Castro Valley, CA 94546, USA",,ChIJRQFe3ROSj4ARQQZSNCTJGic
Baywood Equestrian Center,Tour Agency,"stable, tour_agency, travel_agency, pet_care, service, point_of_interest, establishment","6496 Crow Canyon Rd, Castro Valley, CA 94552, USA",,ChIJy5vvAWKSj4ARNezDYKUZSpU
"Pyramid Sport Horses, Inc",Stable,"stable, pet_care, service, point_of_interest, establishment","6496 Crow Canyon Rd, Castro Valley, CA 94552, USA",,ChIJU7DD7z2Nj4ARA2wAOwggT1w
Metro Skate Camp,Children's camp,"childrens_camp, point_of_interest, establishment","6496 Crow Canyon Rd, Castro Valley, CA 94552, USA",https://metroskatecamp.com/,ChIJr7UkiNSTj4ARRPrX2zFDxOI
Blackhound Equestrian,Stable,"stable, pet_care, service, point_of_interest, establishment","6496 Crow Canyon Rd, Castro Valley, CA 94552, USA",https://www.blackhound-equestrian.com/,ChIJ__-DAoqSj4ARzaxtw4o_E4E
Encap Energy Corp.,Services,"service, point_of_interest, establishment","6650 Crow Canyon Rd, Castro Valley, CA 94552, USA",,ChIJycjEJIiSj4ARWWWABBykkKE
Greenridge Park Restrooms,Public Bathroom,"public_bathroom, point_of_interest, establishment","6068-6082 Greenridge Rd, Castro Valley, CA 94552, USA",https://haywardrec.org/Facilities/Facility/Details/Greenridge-Park-34,ChIJXyNfR2SSj4ARs1Xp6mQHw-Y
BLUEZOO WEB,Services,"service, point_of_interest, establishment","6732 Crow Canyon Rd, Castro Valley, CA 94552, USA",http://bluezooweb.com/,ChIJVc3gaYiSj4ARjRZBwtjKYz8
Greenridge Park,Park,"park, tourist_attraction, point_of_interest, establishment","6108 Greenridge Rd, Castro Valley, CA 94552, USA",https://www.haywardrec.org/Facilities/Facility/Details/Greenridge-Park-34,ChIJf0YcBmSSj4AR0MATIVFX93U
Spacious Modern Farmhouse Casita in Castro Valley Countryside with Private Patio,Lodging,"lodging, point_of_interest, establishment","Castro Valley, CA 94552, USA",,ChIJ1cXlb4iSj4ARXE4RDSBfdhc
"Escape to the Ranch: Relax, Work or Explore",Lodging,"lodging, point_of_interest, establishment","Castro Valley, CA 94552, USA",,ChIJNd5ucYiSj4ARfFUHrQ7qPr8
San Leandro Dahlia Society,Association / Organization,"association_or_organization, point_of_interest, establishment","18505 Greenridge Ct, Castro Valley, CA 94552, USA",http://www.sanleandrodahliasociety.org/about-us.html,ChIJFV9yjmaSj4AR67kqEpiVcsM
Iman Towing Roadside,Services,"service, point_of_interest, establishment","18968 Masterson Pl, Castro Valley, CA 94552, USA",http://imantowingservice.com/,ChIJmQrE90yTj4ARIlyplSZWCUQ
Fernhaven Equestrian,Sports School,"sports_coaching, sports_school, sports_activity_location, point_of_interest, establishment","7324 Crow Canyon Rd, Castro Valley, CA 94552, USA",https://fernhavenequestrian.com/,ChIJI_ued_yTj4AREZtK8y3zobQ
Continental Equestrian,,"point_of_interest, establishment","7324 Crow Canyon Rd, Castro Valley, CA 94552, USA",https://continentalequestrian.com/,ChIJ3-N2cveTj4AR54d4KWcEEXA
Apple Creek Farms,Sports School,"sports_coaching, sports_school, sports_activity_location, point_of_interest, establishment","7324 Crow Canyon Rd, Castro Valley, CA 94552, USA",https://www.applecreekcv.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=5043863963040633555,ChIJAxUm4n2Sj4ARY_It8lt_KCQ
Haystackhorses,Sports School,"sports_coaching, sports_school, sports_activity_location, point_of_interest, establishment","7324 Crow Canyon Rd, Castro Valley, CA 94546, USA",,ChIJkR5qeISTj4ARPn6yURyWewc
Roofing Doctor,Roofing Contractor,"roofing_contractor, service, point_of_interest, establishment","5753 Greenridge Rd, Castro Valley, CA 94552, USA",http://www.roofingdoctor.com/,ChIJYUSYr12Sj4ARFPpb6NTW9Cw
Cheyenne West,Child Care Agency,"child_care_agency, service, point_of_interest, establishment","5886 Highwood Rd, Castro Valley, CA 94552, USA",,ChIJn0_tYgCTj4ARjqyedkrUWIo
Sunshine Palette Child Care,Child Care Agency,"child_care_agency, service, point_of_interest, establishment","5745 Cold Water Dr, Castro Valley, CA 94552, USA",http://www.sunshinepalette.com/,ChIJYw3evbiTj4ARYIdsz0lKfTA
Alegria Community Living,Services,"service, point_of_interest, establishment","5508 Jasmine Ct, Castro Valley, CA 94552, USA",,ChIJr1-43WeSj4ARBaSzruXjrCQ
SF Wedding Photos,Services,"point_of_interest, service, establishment","20400 Summercrest Dr, Castro Valley, CA 94552, USA",https://www.sfweddingphotos.com/,ChIJtRPCUnuTj4AR52LZnWJhndU
Franklins house,Housing Complex,"housing_complex, point_of_interest, service, establishment","7319 Longmont Loop, Castro Valley, CA 94552, USA",,ChIJfadWJACTj4ARHhQ_XYgtl24
Financial Services,Insurance Agency,"insurance_agency, point_of_interest, service, establishment","7619 Pineville Cir, Castro Valley, CA 94552, USA",https://clients.firstfinancialsecurity.com/FFSBB/,ChIJD1tWX8OTj4ARLGdhZGe1LKM
Martin Cinke Tutoring,Services,"consultant, point_of_interest, educational_institution, service, establishment","19995 Jensen Ranch Rd, Castro Valley, CA 94552, USA",https://mctutoring.org/,ChIJNyF_tTZ41mMRBciIoacPh1o
Aster BioScience,,"point_of_interest, establishment","7296 Longmont Loop, Castro Valley, CA 94552, USA",https://www.asterbioscience.com/,ChIJwUUNbe2Sj4ARVVocFc3sF3A
Evoluxe Skin,Store,"store, point_of_interest, establishment","19405 Buren Pl, Castro Valley, CA 94552, USA",,ChIJKx9kvnaTj4ARy7oKBKK9wx8
Top One Equipment Care,Services,"point_of_interest, service, establishment","19215 Buren Pl, Castro Valley, CA 94552, USA",http://www.toponecare.com/,ChIJebaEVo2Sj4AR95igNpkGK6c
GameDay Legends,Services,"point_of_interest, service, establishment","20934 Sherman Dr, Castro Valley, CA 94552, USA",,ChIJgwCwm4-Tj4AR3QI3M7GBdV4
